,valence,valence,valence,danceability,danceability,danceability,energy,energy,energy,acousticness,acousticness,acousticness
1995,0.589,0.39375000000000004,0.76175,0.683,0.5745,0.76875,0.646,0.523,0.7835000000000001,0.07715,0.01935,0.26175000000000004
1996,0.6005,0.42325,0.76,0.6695,0.56125,0.75725,0.644,0.49624999999999997,0.784,0.09605,0.0278,0.30274999999999996
1997,0.598,0.42125,0.74475,0.6935,0.5872499999999999,0.784,0.657,0.502,0.7725,0.07955000000000001,0.0179,0.27475000000000005
1998,0.584,0.371,0.746,0.683,0.564,0.762,0.623,0.49,0.788,0.112,0.0254,0.288
1999,0.5805,0.39575,0.76675,0.644,0.552,0.74775,0.696,0.5507500000000001,0.808,0.099,0.028825,0.23475
2000,0.589,0.35975,0.73775,0.665,0.5825,0.75925,0.7,0.5645,0.8332499999999999,0.08555,0.024,0.26325
2001,0.616,0.4235,0.75,0.662,0.562,0.766,0.714,0.576,0.841,0.0901,0.0204,0.2355
2002,0.598,0.401,0.763,0.626,0.523,0.737,0.732,0.62,0.84,0.084,0.0195,0.219
2003,0.582,0.366,0.767,0.627,0.545,0.739,0.74,0.6,0.839,0.0825,0.0161,0.228
2004,0.5705,0.3925,0.756,0.6375,0.523,0.764,0.7304999999999999,0.607,0.842,0.07200000000000001,0.0183,0.2415
2005,0.5375000000000001,0.37124999999999997,0.6935,0.6174999999999999,0.513,0.734,0.7235,0.5862499999999999,0.847,0.06555,0.01165,0.2425
2006,0.578,0.3875,0.727,0.625,0.5255000000000001,0.745,0.752,0.62,0.8605,0.0598,0.01055,0.2075
2007,0.534,0.357,0.7184999999999999,0.618,0.514,0.7115,0.737,0.6174999999999999,0.853,0.0772,0.013049999999999999,0.2305
2008,0.51,0.35724999999999996,0.698,0.5905,0.489,0.7042499999999999,0.7495,0.63175,0.85725,0.0608,0.011524999999999999,0.1985
2009,0.513,0.362,0.67925,0.591,0.47975,0.675,0.763,0.64,0.86575,0.0601,0.0103,0.20225
2010,0.514,0.3275,0.67925,0.602,0.497,0.692,0.755,0.612,0.84825,0.0786,0.013824999999999999,0.25375000000000003
2011,0.484,0.333,0.653,0.599,0.49,0.675,0.744,0.639,0.848,0.0599,0.0135,0.233
2012,0.502,0.3275,0.668,0.616,0.5215000000000001,0.694,0.757,0.6325000000000001,0.8594999999999999,0.0409,0.011349999999999999,0.1895
2013,0.491,0.33225000000000005,0.65925,0.6105,0.526,0.6995,0.723,0.578,0.82075,0.05685,0.016575,0.17825
2014,0.5005,0.31725000000000003,0.6787500000000001,0.63,0.527,0.72275,0.721,0.587,0.8345,0.077,0.018975,0.25175000000000003
2015,0.447,0.3035,0.601,0.635,0.5385,0.738,0.691,0.546,0.7895000000000001,0.069,0.0189,0.239
2016,0.4245,0.27275000000000005,0.5985,0.636,0.5415000000000001,0.729,0.6495,0.519,0.766,0.09709999999999999,0.031724999999999996,0.31225
2017,0.437,0.27525,0.62075,0.687,0.5882499999999999,0.7835000000000001,0.6225,0.506,0.75075,0.1065,0.030625,0.27375000000000005
2018,0.426,0.273,0.575,0.715,0.601,0.805,0.636,0.531,0.729,0.114,0.037,0.267
2019,0.462,0.319,0.624,0.689,0.576,0.801,0.636,0.521,0.746,0.13,0.0392,0.339
